Datetime,monthly_kwh,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,month,year,month_name
2008-03-01,926.5366333333333,4531.546,241.32535819892473,5.23486559139785,63110.0,79278.0,279688.0,3,2008,Mar
2008-04-01,803.4998666666667,5361.76,241.2211912037037,4.697060185185185,47080.0,70871.0,295678.0,4,2008,Apr
2008-05-01,762.0826,6896.784,240.36773723118282,4.384193548387096,53084.0,58911.0,290622.0,5,2008,May
2008-06-01,715.7465333333333,6550.558,238.97521574074074,4.301444444444444,68728.0,63449.0,290103.0,6,2008,Jun
2008-07-01,591.3049666666667,6551.446,239.77080017921148,3.4636155913978497,47313.0,44416.0,227228.0,7,2008,Jul
2008-08-01,205.74009999999998,5705.2480000000005,240.4329921594982,1.2637544802867382,3873.0,22264.0,79685.0,8,2008,Aug
2008-09-01,711.1298666666667,5399.154,240.12458078703702,4.212347222222222,52376.0,44590.0,284282.0,9,2008,Sep
2008-10-01,846.1622,4726.92,240.32877262544804,4.800013440860216,44093.0,63314.0,276618.0,10,2008,Oct
2008-11-01,998.9172,4379.32,240.58600439814816,5.866277777777778,58067.0,55927.0,280735.0,11,2008,Nov
2008-12-01,949.3032,4080.206,243.08296931003585,5.307894265232975,45109.0,39459.0,308624.0,12,2008,Dec
2009-01-01,1049.2586333333334,4396.658,243.79299260752688,5.867468637992832,74653.0,72952.0,329623.0,1,2009,Jan
2009-02-01,837.6154333333334,3863.986,242.40373685515874,5.195927579365079,47098.0,50684.0,296200.0,2,2009,Feb
2009-03-01,912.7870666666666,4657.866,242.30357504480287,5.149507168458781,64691.0,48428.0,328733.0,3,2009,Mar
2009-04-01,821.2804,5315.22,241.63326921296297,4.816453703703703,54506.0,52601.0,307840.0,4,2009,Apr
2009-05-01,753.5356,5338.542,240.11865143369175,4.300049283154122,43570.0,50105.0,311049.0,5,2009,May
2009-06-01,577.7613333333334,5740.17,241.06982523148147,3.43887037037037,31362.0,33106.0,263274.0,6,2009,Jun
2009-07-01,459.93286666666665,7488.954,242.01783355734767,2.710564516129032,18226.0,42528.0,187936.0,7,2009,Jul
2009-08-01,487.93313333333333,8346.788,241.29451657706093,2.896120071684588,34023.0,38217.0,192955.0,8,2009,Aug
2009-09-01,710.5539,6648.46,241.1463722222222,4.212884259259259,51602.0,46144.0,296615.0,9,2009,Sep
2009-10-01,851.4895333333333,5866.822,240.89413306451613,4.818687275985663,54728.0,53729.0,327505.0,10,2009,Oct
2009-11-01,917.8431666666667,5474.026,241.94656388888887,5.334101851851852,60446.0,53473.0,335548.0,11,2009,Nov
2009-12-01,1015.1460333333333,5792.428,244.0822222222222,5.661863799283155,57801.0,53492.0,383945.0,12,2009,Dec
2010-01-01,1076.3293333333334,5547.03,243.64487768817202,5.991836917562724,60145.0,62826.0,455400.0,1,2010,Jan
2010-02-01,924.6168666666666,4130.28,242.3479052579365,5.716011904761905,49270.0,53592.0,411733.0,2,2010,Feb
2010-03-01,816.8548666666667,5839.764,242.03120766129032,4.606160394265233,35089.0,62899.0,326379.0,3,2010,Mar
2010-04-01,739.6411,5393.432,241.78274351851852,4.30512962962963,38196.0,36476.0,336092.0,4,2010,Apr
2010-05-01,814.9028333333333,5454.506,240.36926120071686,4.630931899641578,48108.0,52376.0,364626.0,5,2010,May
2010-06-01,698.1245,6485.012,240.84189583333333,4.169226851851851,65747.0,47679.0,306952.0,6,2010,Jun
2010-07-01,536.5067666666666,7386.89,240.54792809139784,3.130994623655914,17704.0,34359.0,192912.0,7,2010,Jul
2010-08-01,477.50216666666665,4782.076,240.92657414874552,2.7641890681003587,12499.0,26983.0,167415.0,8,2010,Aug
2010-09-01,617.9004333333334,5025.038,241.3500712962963,3.646726851851852,36865.0,32508.0,263098.0,9,2010,Sep
2010-10-01,865.5899666666667,6140.78,242.1593082437276,4.889135304659498,48199.0,60252.0,315670.0,10,2010,Oct
2010-11-01,743.3064666666667,4128.708,240.71985075281177,5.0572292770570675,46162.0,42282.0,247113.0,11,2010,Nov
